id,info,class,n_jobs,solver,penalty,dual,tol,C,fit_intercept,intercept_scale,iteration,mutli-class,result
1,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr',TRUE
2,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto',FALSE
3,2,2,6, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr',TRUE
4,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr',TRUE
5,2,2,2, 'newton-cg', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
6,2,2,6, 'saga', 'l1', True,0,1, False,1,100, 'ovr',FALSE
7,2,2,10, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
8,2,2,1, 'saga', 'l2', False,0.0001,10, False,0,100, 'ovr',TRUE
9,2,2,1, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr',TRUE
10,2,2,1, 'liblinear', 'l1', False,0.0001,1, False,0,100, 'ovr',TRUE
11,2,2,6, 'saga', 'l2', False,0.0001,10, False,1,0, 'ovr',TRUE
12,2,2,1, 'saga', 'l2', False,0.0001,10, False,0,100, 'ovr',TRUE
13,2,2,1, 'saga', 'l1', False,0.0001,1, True,1,100, 'multinomial',TRUE
14,2,2,1, 'saga', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
15,2,2,1, 'saga', 'l2', False,0.0001,10, False,1,100, 'multinomial',TRUE
16,2,2,1, 'newton-cg', 'l2', False,0,10, False,6,100, 'ovr',TRUE
17,2,10,10, 'liblinear', 'l2', False,0.0001,10, True,1,100, 'ovr',FALSE
18,2,2,1, 'liblinear', 'l2', False,0,0.01, True,1,100, 'ovr',FALSE
19,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
20,2,2,1, 'saga', 'l2', False,0.4,0.01, True,1,100, 'ovr',TRUE
21,2,2,1, 'liblinear', 'l1', False,0.0001,1, False,0,100, 'ovr',TRUE
22,2,2,2, 'lbfgs', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
23,2,2,6, 'saga', 'l2', True,1,10, True,1,100, 'ovr',FALSE
24,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
25,2,2,6, 'lbfgs', 'l2', False,0.0001,100, False,1,0, 'ovr',TRUE
26,2,2,1, 'newton-cg', 'l2', False,0,10, False,6,25, 'ovr',TRUE
27,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
28,2,2,7, 'lbfgs', 'l2', False,1,10, False,0,100, 'ovr',TRUE
29,2,2,1, 'liblinear', 'l1', False,0.0001,1, False,0,100, 'ovr',TRUE
30,2,2,6, 'lbfgs', 'l2', False,1,10, False,0,100, 'ovr',TRUE
31,2,2,1, 'saga', 'l2', False,0,10, True,6,100, 'ovr',TRUE
32,2,2,1, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr',TRUE
33,2,2,6, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
34,2,2,6, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
35,2,2,1, 'newton-cg', 'l2', False,0,10, False,6,25, 'ovr',TRUE
36,2,2,1, 'sag', 'l2', False,0.0001,10, False,0,100, 'ovr',TRUE
37,2,2,1, 'saga', 'l2', False,0.4,0.01, True,1,100, 'ovr',TRUE
38,2,2,1, 'newton-cg', 'l2', False,0,10, False,6,25, 'ovr',TRUE
39,2,2,1, 'saga', 'l2', False,0,0.01, False,1,100, 'multinomial',TRUE
40,2,2,1, 'saga', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
41,2,2,1, 'saga', 'l2', True,0,10, False,0,100, 'ovr',FALSE
42,2,2,6, 'saga', 'l2', False,0,0.01, True,1,100, 'multinomial',TRUE
43,2,2,1, 'saga', 'l1', False,0,0.01, True,1,100, 'multinomial',TRUE
44,2,2,1, 'lbfgs', 'l2', False,0.0001,10, False,1,100, 'ovr',TRUE
45,2,2,6, 'saga', 'l2', False,0,0.01, False,1,100, 'ovr',TRUE
46,2,2,1, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
47,2,2,1, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
48,2,2,6, 'saga', 'l2', True,1,10, True,1,100, 'ovr',FALSE
49,2,2,1, 'saga', 'l2', False,0.0001,10, False,1,100, 'ovr',TRUE
50,2,2,6, 'saga', 'l1', False,0,1, False,1,100, 'ovr',TRUE
51,2,2,1, 'newton-cg', 'l2', False,1,10, True,1,100, 'ovr',TRUE
52,2,2,10, 'saga', 'l1', False,0.0001,10, True,1,100, 'multinomial',TRUE
53,2,2,6, 'saga', 'l2', False,0,0.01, False,1,100, 'ovr',TRUE
54,2,2,10, 'saga', 'l1', False,0.0001,10, False,1,100, 'multinomial',TRUE
55,2,2,1, 'liblinear', 'l2', True,0,10, False,0,100, 'ovr',FALSE
56,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
57,2,2,2, 'lbfgs', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
58,2,2,1, 'saga', 'l2', False,0,0.01, True,1,100, 'multinomial',TRUE
59,2,2,1, 'newton-cg', 'l2', False,0,10, False,6,25, 'ovr',TRUE
60,2,2,6, 'newton-cg', 'l2', False,1,10, True,0,100, 'ovr',TRUE
61,2,2,2, 'newton-cg', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
62,2,2,1, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr',TRUE
63,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
64,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr',TRUE
